RANK,SURNAME,Count,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6
971,COMPTON,"35,830",87.26%,7.81%,0.47%,0.69%,1.72%,2.04%
972,DUDLEY,"35,781",65.96%,27.67%,0.52%,0.74%,2.48%,2.62%
973,SIERRA,"35,770",7.23%,0.74%,0.64%,0.51%,0.32%,90.56%
974,POLLARD,"35,749",62.77%,31.39%,0.55%,0.57%,2.40%,2.33%
975,ALFARO,"35,725",4.88%,0.29%,1.28%,0.10%,0.19%,93.26%
976,HESTER,"35,642",73.10%,21.94%,0.52%,0.50%,2.18%,1.76%
977,PROCTOR,"35,636",70.12%,21.55%,0.53%,2.44%,3.11%,2.25%
978,LU,"35,628",1.77%,0.36%,95.74%,0.02%,1.43%,0.69%
979,HINTON,"35,606",53.16%,40.63%,0.37%,1.17%,2.58%,2.09%
980,NOVAK,"35,461",95.47%,0.33%,0.70%,0.21%,1.07%,2.23%
981,GOOD,"35,446",88.90%,5.48%,1.15%,0.41%,1.62%,2.43%
982,MADDEN,"35,438",84.48%,10.47%,0.68%,0.46%,1.77%,2.14%
983,MCCANN,"35,408",89.67%,5.48%,0.65%,0.43%,1.60%,2.17%
983,TERRELL,"35,408",55.26%,38.99%,0.39%,0.75%,2.41%,2.20%
985,JARVIS,"35,350",84.87%,9.29%,0.56%,0.55%,1.95%,2.77%
986,DICKSON,"35,312",75.76%,16.89%,0.70%,1.36%,2.19%,3.10%
987,REYNA,"35,291",6.18%,0.27%,0.47%,0.45%,0.20%,92.43%
988,CANTRELL,"35,266",89.67%,4.68%,0.45%,1.18%,1.93%,2.09%
989,MAYO,"35,228",63.25%,22.18%,2.08%,0.91%,2.52%,9.07%
990,BRANCH,"35,225",47.37%,45.90%,0.50%,0.62%,2.63%,2.98%
991,HENDRIX,"35,194",77.99%,16.18%,0.47%,0.71%,2.23%,2.41%
992,ROLLINS,"35,132",68.29%,25.95%,0.40%,0.48%,2.40%,2.48%
993,ROWLAND,"35,121",86.60%,7.42%,0.60%,1.02%,1.88%,2.48%
994,WHITNEY,"35,118",85.44%,8.45%,0.83%,0.82%,1.99%,2.48%
995,DUKE,"35,053",85.45%,8.08%,0.62%,0.57%,1.96%,3.32%
996,ODOM,"35,020",69.03%,25.85%,0.45%,0.58%,1.99%,2.11%
997,DAUGHERTY,"34,987",90.01%,4.48%,0.47%,1.09%,1.94%,2.00%
998,TRAVIS,"34,985",73.32%,21.01%,0.52%,0.53%,2.21%,2.40%
999,TANG,"34,961",2.64%,0.62%,93.31%,0.05%,2.13%,1.25%
1000,ARCHER,"34,949",79.50%,13.99%,0.60%,0.74%,2.03%,3.13%
1001,HAAS,"34,918",95.16%,0.30%,0.54%,0.44%,1.21%,2.35%
1002,GALLOWAY,"34,909",69.50%,24.47%,0.44%,0.64%,2.25%,2.70%
1003,BRAY,"34,906",81.76%,12.26%,0.60%,0.84%,2.21%,2.33%
1004,NIEVES,"34,896",5.66%,1.14%,0.61%,0.09%,0.21%,92.28%
1005,PETTY,"34,882",73.43%,20.99%,0.52%,0.50%,2.16%,2.40%
1006,MCGRATH,"34,871",94.42%,0.69%,0.68%,0.36%,1.32%,2.53%
1007,KAUFMAN,"34,844",94.57%,1.50%,0.57%,0.20%,1.13%,2.04%
1008,HOLDEN,"34,824",76.83%,17.62%,0.54%,0.80%,2.10%,2.11%
1009,KRAUSE,"34,722",95.12%,0.47%,0.65%,0.33%,1.27%,2.17%
1010,BAIRD,"34,721",91.44%,3.30%,0.63%,0.64%,1.59%,2.40%
1011,RIGGS,"34,506",87.67%,6.09%,0.47%,1.58%,1.82%,2.38%
1012,BRAUN,"34,491",94.26%,0.68%,0.60%,0.29%,1.28%,2.90%
1013,WERNER,"34,488",95.24%,0.48%,0.68%,0.25%,1.17%,2.18%
1014,QUINONES,"34,468",5.61%,1.33%,1.09%,0.20%,0.26%,91.52%
1015,SALDANA,"34,434",4.71%,0.52%,1.21%,0.21%,0.23%,93.11%
1016,MERCER,"34,431",82.18%,12.92%,0.51%,0.58%,1.62%,2.21%
1017,HATFIELD,"34,381",92.60%,2.83%,0.47%,0.49%,1.65%,1.96%
1018,MCNEIL,"34,368",52.43%,41.94%,0.40%,0.56%,2.27%,2.41%
1019,IRWIN,"34,297",92.62%,2.18%,0.70%,0.68%,1.61%,2.21%
1020,HOOPER,"34,247",79.46%,13.92%,0.63%,1.30%,2.17%,2.53%
1021,HAYS,"34,191",91.57%,3.28%,0.58%,0.61%,1.71%,2.25%
1022,JOYCE,"34,132",87.83%,7.83%,0.69%,0.22%,1.50%,1.92%
1023,MCKNIGHT,"34,055",59.44%,35.04%,0.48%,0.47%,2.37%,2.20%
1024,GAMBLE,"34,005",57.05%,36.62%,0.49%,0.94%,2.40%,2.49%
1025,DOWNS,"33,922",83.76%,10.20%,0.62%,0.66%,1.73%,3.03%
1026,PIERRE,"33,913",7.05%,86.74%,0.31%,0.92%,2.23%,2.75%
1027,HANEY,"33,898",87.05%,7.51%,0.51%,0.89%,1.94%,2.10%
1028,FORBES,"33,813",70.42%,22.51%,0.79%,0.46%,2.22%,3.61%
1029,SAENZ,"33,787",7.38%,0.19%,0.39%,0.30%,0.23%,91.52%
1030,DAVIES,"33,753",88.77%,6.35%,0.76%,0.27%,1.63%,2.22%
1031,VERA,"33,674",7.12%,0.59%,0.90%,0.15%,0.22%,91.02%
1032,LEVINE,"33,637",90.72%,4.41%,0.65%,0.10%,1.26%,2.85%
1033,MOONEY,"33,555",90.61%,4.30%,0.60%,0.69%,1.60%,2.18%
1034,JOHN,"33,543",40.98%,21.03%,21.27%,11.17%,2.41%,3.15%
1035,ROSA,"33,521",30.00%,2.62%,1.18%,0.14%,1.11%,64.96%
1036,RIDDLE,"33,507",88.29%,5.89%,0.53%,1.18%,1.99%,2.11%
1037,KEY,"33,501",68.56%,24.61%,0.90%,0.99%,2.33%,2.61%
1038,CHO,"33,490",1.88%,(S),95.12%,(S),1.92%,0.80%
1039,KAISER,"33,480",93.15%,1.66%,1.04%,0.45%,1.38%,2.32%
1040,HOLDER,"33,465",73.12%,20.77%,0.52%,0.74%,1.98%,2.87%
1041,BIRD,"33,457",87.79%,3.28%,0.97%,2.94%,2.21%,2.81%
1042,BONNER,"33,446",54.11%,40.35%,0.47%,0.36%,2.48%,2.23%
1043,FERRELL,"33,418",74.71%,20.16%,0.41%,0.40%,1.90%,2.43%
1044,COTTON,"33,374",51.36%,42.34%,0.30%,0.90%,2.75%,2.35%
1045,DOTSON,"33,347",68.17%,26.47%,0.32%,0.67%,2.45%,1.92%
1046,MCGOWAN,"33,340",75.15%,19.50%,0.57%,0.49%,1.95%,2.34%
1047,BARLOW,"33,335",81.17%,13.30%,0.55%,1.17%,1.85%,1.96%
1048,SHEA,"33,329",93.84%,0.52%,1.89%,0.26%,1.23%,2.25%
1049,EWING,"33,314",76.28%,17.89%,0.62%,0.43%,2.22%,2.57%
1050,BRIGHT,"33,281",70.47%,23.30%,0.86%,0.60%,2.52%,2.25%
1051,BECERRA,"33,274",4.82%,0.18%,0.26%,0.22%,0.18%,94.34%
1052,LINDSAY,"33,255",72.49%,22.00%,0.57%,0.53%,2.01%,2.40%
1053,RITTER,"33,252",92.62%,2.99%,0.45%,0.59%,1.36%,2.00%
1054,COOLEY,"33,231",77.81%,16.87%,0.46%,0.94%,1.98%,1.94%
1055,FRITZ,"33,224",93.12%,2.27%,0.69%,0.37%,1.20%,2.35%
1056,COOKE,"33,223",77.96%,15.80%,0.56%,1.17%,2.03%,2.47%
1057,DELANEY,"33,218",83.59%,11.25%,0.58%,0.42%,1.83%,2.32%
1057,AMAYA,"33,218",4.45%,0.62%,0.43%,0.15%,0.20%,94.15%
1059,CHANEY,"33,201",71.01%,22.95%,0.52%,0.77%,2.39%,2.37%
1060,KIDD,"33,186",75.09%,19.50%,0.54%,0.51%,2.05%,2.31%
1061,VELASCO,"33,078",5.94%,0.26%,10.51%,0.32%,0.70%,82.27%
1062,NGO,"33,005",0.92%,(S),96.46%,(S),1.69%,0.65%
1063,CHENG,"32,982",1.86%,0.20%,94.63%,0.03%,2.22%,1.06%
1064,NEWELL,"32,909",79.08%,15.28%,0.61%,0.77%,1.85%,2.41%
1065,FREY,"32,904",95.14%,0.93%,0.60%,0.25%,1.19%,1.89%
1066,CARNEY,"32,897",85.44%,8.77%,0.57%,1.10%,1.74%,2.39%
1067,BARRIOS,"32,873",8.06%,0.40%,1.47%,0.22%,0.30%,89.54%
1068,BOLTON,"32,815",73.52%,20.94%,0.54%,0.52%,2.10%,2.40%
1069,HOLMAN,"32,788",69.54%,24.54%,0.44%,0.74%,2.10%,2.64%
1070,TOVAR,"32,760",4.73%,0.35%,0.13%,0.24%,0.18%,94.38%
1071,CARDONA,"32,727",6.32%,0.47%,0.97%,0.17%,0.31%,91.77%
1072,DAILEY,"32,719",77.28%,17.24%,0.53%,0.74%,1.97%,2.24%
1073,MERRILL,"32,620",90.32%,4.18%,0.70%,1.00%,1.67%,2.13%
1074,COWAN,"32,586",79.49%,15.13%,0.49%,0.56%,2.00%,2.33%
1075,SLATER,"32,584",79.20%,15.15%,0.63%,0.75%,1.74%,2.53%
1076,ALBERT,"32,507",76.84%,13.64%,2.06%,1.69%,1.72%,4.04%
1077,JUSTICE,"32,480",85.55%,9.42%,0.46%,0.70%,2.10%,1.77%
1078,OSBORN,"32,439",91.04%,2.89%,0.67%,0.89%,1.93%,2.57%
1079,CARVER,"32,415",89.29%,5.83%,0.45%,0.57%,1.69%,2.17%
1080,LANCASTER,"32,362",84.28%,10.07%,0.61%,0.65%,2.10%,2.30%
1081,GOFF,"32,298",87.20%,7.78%,0.54%,0.47%,1.59%,2.42%
1082,ZAPATA,"32,274",5.80%,0.41%,1.15%,0.12%,0.24%,92.28%
1083,FULTON,"32,258",71.16%,22.79%,0.53%,0.96%,2.21%,2.34%
1084,KANG,"32,221",3.08%,0.56%,93.86%,0.03%,1.81%,0.67%
1085,SEARS,"32,206",83.36%,10.95%,0.56%,0.84%,2.06%,2.23%
1086,LEHMAN,"32,180",95.02%,0.76%,0.61%,0.33%,1.23%,2.04%
1087,BYERS,"32,174",80.70%,14.05%,0.57%,0.60%,1.77%,2.30%
1088,SNIDER,"32,148",92.28%,2.93%,0.59%,0.67%,1.70%,1.83%
1089,LAW,"32,122",65.61%,15.63%,14.22%,0.39%,2.08%,2.07%
1090,TAN,"32,120",3.30%,0.19%,92.37%,0.11%,2.62%,1.42%
1091,LAKE,"32,104",81.43%,11.85%,0.88%,1.18%,2.09%,2.57%
1092,LUTZ,"32,050",94.79%,0.62%,0.61%,0.26%,1.17%,2.56%
1093,COSTELLO,"32,043",90.85%,1.34%,0.69%,0.32%,1.34%,5.46%
1094,GAY,"32,025",70.72%,22.51%,1.84%,0.73%,1.87%,2.32%
1095,GUTHRIE,"31,956",88.05%,5.85%,0.64%,1.21%,2.04%,2.20%
1096,GALLARDO,"31,909",5.73%,0.25%,3.14%,0.22%,0.44%,90.23%
1097,WORKMAN,"31,856",90.09%,5.04%,0.43%,0.71%,1.68%,2.05%
1098,MCFADDEN,"31,839",60.27%,34.75%,0.47%,0.31%,2.11%,2.08%
1099,BLANCO,"31,800",11.28%,1.16%,4.22%,0.13%,0.47%,82.74%
1100,GORMAN,"31,788",89.77%,3.56%,0.59%,1.96%,1.49%,2.63%
1101,KATZ,"31,780",95.31%,0.38%,0.70%,0.07%,0.88%,2.65%
1102,KUHN,"31,776",95.17%,0.58%,0.65%,0.23%,1.17%,2.21%
1103,NOEL,"31,768",59.83%,33.62%,0.92%,0.52%,1.74%,3.37%
1104,VALLE,"31,716",10.69%,0.73%,1.47%,0.25%,0.50%,86.37%
1105,MARINO,"31,687",84.02%,0.82%,1.08%,0.16%,1.04%,12.87%
1106,HONG,"31,670",7.23%,0.97%,88.12%,0.19%,2.33%,1.15%
1107,SPRINGER,"31,643",83.29%,10.68%,0.70%,0.76%,1.96%,2.61%
1108,PICKETT,"31,611",65.61%,29.23%,0.41%,0.48%,2.08%,2.19%
1109,AGUILERA,"31,581",4.28%,0.30%,0.54%,0.13%,0.18%,94.57%
1110,WITT,"31,575",91.51%,3.23%,0.56%,0.76%,1.47%,2.47%
1110,CARRASCO,"31,575",5.62%,0.44%,0.79%,0.28%,0.25%,92.62%
1112,DONAHUE,"31,563",92.35%,2.98%,0.51%,0.78%,1.30%,2.08%
1113,KINNEY,"31,558",85.36%,8.01%,0.88%,1.35%,2.14%,2.27%
1114,DONNELLY,"31,505",94.31%,1.07%,0.63%,0.23%,1.26%,2.50%
1115,BRITT,"31,474",73.72%,20.90%,0.32%,0.84%,1.96%,2.25%
1116,CRAFT,"31,452",80.99%,14.56%,0.39%,0.38%,1.89%,1.79%
1117,ODELL,"31,349",91.44%,2.39%,0.57%,0.77%,1.85%,2.98%
1118,DALY,"31,330",91.41%,3.43%,0.66%,0.25%,1.38%,2.86%
1119,WINTER,"31,310",93.02%,1.95%,0.63%,0.43%,1.29%,2.68%
1120,ABRAHAM,"31,303",45.00%,20.48%,25.64%,0.73%,2.12%,6.03%
1121,BAEZ,"31,298",4.28%,0.90%,0.22%,0.11%,0.16%,94.33%
1122,RODRIGUES,"31,280",45.85%,4.95%,4.35%,0.34%,3.26%,41.26%
1123,WOOTEN,"31,249",65.90%,28.78%,0.38%,0.70%,2.28%,1.96%
1124,HARTLEY,"31,221",88.90%,6.52%,0.59%,0.42%,1.55%,2.01%
1125,NG,"31,210",1.92%,0.22%,93.20%,0.04%,2.81%,1.81%
1126,KENDALL,"31,209",85.73%,8.90%,0.81%,0.54%,1.99%,2.03%
1127,CLEVELAND,"31,123",66.41%,25.78%,0.58%,2.85%,2.31%,2.07%
1128,CROWLEY,"31,098",90.11%,5.35%,0.64%,0.35%,1.60%,1.95%
1129,PEARCE,"31,060",88.57%,6.19%,0.62%,0.68%,1.74%,2.20%
1130,DILLARD,"31,021",53.34%,39.80%,0.35%,0.61%,3.00%,2.89%
1131,WILDER,"31,018",68.05%,26.33%,0.47%,0.74%,2.24%,2.17%
1132,LANGE,"30,984",92.70%,1.95%,1.08%,0.40%,1.37%,2.51%
1133,SHOEMAKER,"30,934",93.56%,2.17%,0.52%,0.46%,1.39%,1.90%
1134,FLANAGAN,"30,887",88.84%,6.46%,0.61%,0.40%,1.34%,2.35%
1135,BRUNO,"30,883",74.09%,7.00%,1.19%,0.62%,1.15%,15.96%
1136,SEGURA,"30,880",8.49%,1.34%,0.45%,0.35%,0.32%,89.05%
1137,BEACH,"30,867",89.56%,4.85%,0.61%,0.85%,1.89%,2.25%
1138,CASTELLANOS,"30,859",4.13%,0.40%,0.22%,0.10%,0.13%,95.03%
1139,TILLMAN,"30,825",45.06%,48.77%,0.35%,0.85%,2.82%,2.14%
1140,ALFORD,"30,771",63.95%,30.58%,0.42%,0.76%,2.01%,2.29%
1141,FINCH,"30,769",78.76%,15.46%,0.67%,0.49%,2.01%,2.61%
1141,MCLEOD,"30,769",69.99%,24.09%,0.49%,0.74%,2.31%,2.38%
1143,MACKEY,"30,749",69.46%,24.43%,0.52%,0.80%,2.43%,2.36%
1144,DODD,"30,732",83.52%,10.67%,0.76%,0.66%,1.97%,2.43%
1145,EMERSON,"30,702",84.83%,8.19%,0.71%,1.61%,1.98%,2.68%
1145,MINOR,"30,702",55.00%,37.16%,0.81%,0.43%,2.39%,4.21%
1147,MUNIZ,"30,695",8.02%,0.55%,0.40%,0.36%,0.25%,90.42%
1148,ALSTON,"30,693",13.76%,79.83%,0.22%,0.40%,3.28%,2.51%
1149,MALONEY,"30,671",91.24%,3.53%,0.63%,0.85%,1.40%,2.35%
1150,CHILDERS,"30,570",90.25%,4.01%,0.51%,0.98%,1.86%,2.39%
1151,MCDERMOTT,"30,528",92.19%,2.59%,0.83%,0.31%,1.42%,2.67%
1152,MOSER,"30,483",94.50%,1.40%,0.68%,0.24%,1.27%,1.91%
1153,VOGEL,"30,470",94.99%,0.49%,0.64%,0.28%,1.11%,2.49%
1154,MCCABE,"30,401",91.49%,1.14%,0.69%,2.38%,1.57%,2.73%
1155,DANG,"30,389",1.75%,0.34%,95.00%,0.03%,2.12%,0.76%
1155,ALONSO,"30,389",6.76%,0.23%,0.84%,0.10%,0.19%,91.90%
1157,SAUCEDO,"30,374",3.77%,0.16%,0.23%,0.21%,0.16%,95.46%
1158,STARR,"30,363",83.39%,8.22%,0.59%,2.90%,2.24%,2.66%
1159,DO,"30,301",2.34%,0.37%,94.78%,0.02%,1.64%,0.86%
1160,HURTADO,"30,286",4.75%,0.35%,0.42%,0.39%,0.19%,93.90%
1161,KIRKLAND,"30,283",68.79%,26.33%,0.46%,0.52%,1.80%,2.10%
1162,HENDRICKSON,"30,259",91.79%,2.51%,0.61%,0.94%,1.81%,2.34%
1163,HOLLEY,"30,231",65.06%,29.80%,0.47%,0.52%,2.16%,1.98%
1164,CORDERO,"30,158",7.71%,0.72%,4.79%,0.29%,0.75%,85.73%
1165,FRANKS,"30,155",82.06%,12.32%,0.54%,0.81%,1.99%,2.27%
1166,GUILLEN,"30,153",4.74%,0.33%,0.92%,0.17%,0.22%,93.63%
1166,WELSH,"30,153",91.01%,3.32%,0.75%,0.65%,1.61%,2.67%
1168,RATLIFF,"30,083",78.70%,16.22%,0.45%,0.59%,1.95%,2.09%
1169,SWEET,"30,051",85.15%,8.41%,0.64%,0.88%,2.16%,2.77%
1170,TALLEY,"30,014",65.16%,28.40%,0.54%,0.90%,2.55%,2.46%
1171,WHITFIELD,"29,962",44.52%,49.68%,0.38%,0.46%,3.02%,1.94%
1172,CROWE,"29,953",87.53%,5.39%,0.52%,2.33%,2.04%,2.19%
1173,GOLDSTEIN,"29,938",95.01%,0.74%,0.68%,0.03%,0.90%,2.64%
1174,ENGLAND,"29,926",88.91%,5.28%,0.48%,1.00%,1.95%,2.38%
1175,PEREIRA,"29,898",57.92%,4.09%,4.97%,0.26%,1.82%,30.93%
1176,LY,"29,891",1.18%,1.54%,94.59%,0.03%,1.72%,0.95%
1177,JOYNER,"29,884",53.31%,41.66%,0.37%,0.36%,2.32%,1.97%
1178,RICHTER,"29,880",94.78%,0.45%,0.65%,0.22%,1.15%,2.74%
1179,FARRIS,"29,877",81.56%,12.51%,0.52%,0.81%,2.09%,2.51%
1180,TRACY,"29,867",91.05%,2.83%,0.62%,1.37%,1.61%,2.51%
1181,BACON,"29,860",74.94%,18.36%,0.93%,1.25%,2.22%,2.30%
1182,HAN,"29,847",4.24%,0.50%,92.67%,0.07%,1.70%,0.82%
1183,GIBBONS,"29,824",83.71%,10.79%,0.69%,0.47%,1.71%,2.63%
1184,MAYFIELD,"29,805",64.78%,29.16%,0.37%,0.61%,2.55%,2.52%
1185,HOANG,"29,798",1.41%,0.13%,96.05%,0.00%,1.61%,0.79%
1186,ELDER,"29,796",79.15%,15.72%,0.52%,0.40%,1.83%,2.38%
1187,LAU,"29,792",16.19%,0.24%,76.07%,0.08%,3.94%,3.47%
1188,DALE,"29,757",78.17%,14.45%,0.74%,2.01%,2.09%,2.53%
1189,CAMP,"29,753",85.05%,9.83%,0.59%,0.84%,1.66%,2.02%
1190,CONNOLLY,"29,710",94.90%,0.73%,0.71%,0.31%,1.23%,2.11%
1191,HEWITT,"29,694",82.77%,11.71%,0.61%,0.60%,1.84%,2.48%
1192,CRAMER,"29,691",93.69%,1.47%,0.66%,0.39%,1.62%,2.18%
1193,GOLDBERG,"29,603",95.31%,0.45%,0.70%,0.07%,0.96%,2.50%
1194,MORIN,"29,593",70.09%,1.10%,0.78%,2.22%,1.22%,24.59%
1195,SUTHERLAND,"29,585",83.46%,9.94%,0.69%,1.05%,1.60%,3.24%
1196,KAPLAN,"29,582",94.78%,0.42%,0.79%,0.10%,1.09%,2.82%
1197,MCALLISTER,"29,544",78.29%,16.15%,0.58%,0.54%,2.10%,2.34%
1198,BYRNE,"29,503",94.79%,0.34%,0.67%,0.27%,1.05%,2.88%
1199,OSORIO,"29,482",3.70%,0.55%,1.17%,0.14%,0.21%,94.23%
1200,CASH,"29,476",78.56%,15.54%,0.58%,0.67%,1.95%,2.70%
1201,HAINES,"29,462",89.91%,5.11%,0.54%,0.69%,1.63%,2.12%
1202,MEEKS,"29,457",73.84%,20.41%,0.37%,1.06%,2.21%,2.10%
1203,WYNN,"29,417",54.24%,39.05%,1.12%,1.03%,2.47%,2.10%
1204,GILLIAM,"29,414",60.55%,34.14%,0.39%,0.55%,2.45%,1.92%
1205,VIGIL,"29,382",13.86%,0.37%,0.34%,2.74%,0.59%,82.09%
1206,HICKEY,"29,350",92.21%,2.70%,0.59%,0.41%,1.49%,2.61%
1207,CONNOR,"29,346",81.54%,12.48%,0.80%,0.54%,1.86%,2.78%
1208,PATE,"29,327",80.28%,14.15%,0.88%,0.91%,1.92%,1.85%
1209,ZEPEDA,"29,252",4.07%,0.22%,0.30%,0.37%,0.18%,94.86%
1210,HATCHER,"29,235",68.00%,26.36%,0.47%,0.79%,2.50%,1.88%
1211,ESCOBEDO,"29,185",4.28%,0.10%,0.44%,0.15%,0.15%,94.89%
1212,ARREDONDO,"29,173",4.88%,0.21%,0.19%,0.22%,0.16%,94.36%
1213,HYDE,"29,094",86.16%,8.27%,0.64%,0.66%,1.62%,2.66%
1214,CHRISTOPHER,"29,067",73.71%,18.90%,1.27%,0.50%,2.17%,3.45%
1215,MOBLEY,"29,065",57.44%,37.25%,0.34%,0.60%,2.13%,2.24%
1216,KESSLER,"29,064",94.94%,0.65%,0.65%,0.27%,1.28%,2.21%
1217,BRITTON,"29,040",73.97%,19.85%,0.50%,0.79%,2.21%,2.68%
1217,RITCHIE,"29,040",91.45%,3.06%,0.66%,0.60%,1.58%,2.64%
1219,ROMANO,"29,018",84.76%,0.53%,1.52%,0.12%,0.81%,12.26%
1220,ONEIL,"28,949",88.03%,6.46%,0.55%,0.51%,1.78%,2.67%
1221,TYSON,"28,947",52.86%,41.40%,0.46%,0.67%,2.37%,2.24%
1222,BUI,"28,919",1.71%,0.32%,95.45%,0.02%,1.63%,0.87%
1223,HILTON,"28,918",78.28%,15.64%,0.64%,0.58%,2.00%,2.86%
1224,CABALLERO,"28,903",6.32%,0.75%,3.07%,0.22%,0.38%,89.25%
1225,DOWNING,"28,880",80.29%,12.93%,0.60%,1.17%,2.34%,2.66%
1226,SHARPE,"28,879",70.96%,23.71%,0.52%,0.36%,2.13%,2.32%
1227,GUY,"28,852",67.88%,24.98%,1.01%,1.43%,2.33%,2.37%
1227,HOLCOMB,"28,852",88.57%,5.98%,0.61%,0.75%,1.71%,2.38%
1229,RANKIN,"28,821",78.47%,15.80%,0.53%,0.49%,2.06%,2.65%
1230,GODFREY,"28,734",78.05%,16.23%,0.63%,0.77%,2.05%,2.28%
1231,CHAMBERLAIN,"28,727",87.49%,5.95%,0.63%,0.85%,1.65%,3.43%
1232,FINK,"28,701",95.55%,0.31%,0.61%,0.34%,1.11%,2.08%
1233,HOLLIS,"28,617",65.53%,28.95%,0.45%,0.49%,2.26%,2.32%
1234,FOREMAN,"28,605",65.78%,27.13%,0.53%,1.56%,2.49%,2.50%
1235,CARRANZA,"28,581",3.95%,0.19%,0.90%,0.15%,0.18%,94.62%
1236,SHARMA,"28,559",3.56%,0.76%,90.64%,0.42%,3.75%,0.86%
1237,KERN,"28,547",93.18%,2.23%,0.88%,0.38%,1.30%,2.04%
1238,CHU,"28,508",2.61%,(S),92.14%,(S),3.30%,1.68%
1239,KNOWLES,"28,460",81.01%,13.19%,0.56%,0.59%,1.91%,2.73%
1240,MA,"28,452",3.07%,0.45%,93.51%,0.06%,1.37%,1.54%
1241,MADISON,"28,411",55.04%,38.28%,0.68%,0.93%,3.01%,2.06%
1242,CHILDS,"28,359",63.30%,30.85%,0.45%,0.97%,2.36%,2.06%
1243,BELCHER,"28,321",80.09%,15.12%,0.44%,0.52%,1.68%,2.15%
1244,WILLS,"28,219",76.10%,17.99%,0.69%,0.46%,2.06%,2.70%
1245,WOMACK,"28,201",65.16%,29.05%,0.43%,0.72%,2.48%,2.16%
1246,DYE,"28,182",83.48%,11.06%,0.54%,0.67%,1.96%,2.30%
1247,ARTHUR,"28,102",76.63%,15.79%,1.04%,2.36%,1.84%,2.35%
1248,GRACE,"28,098",71.46%,20.26%,1.52%,0.64%,2.81%,3.30%
1249,BACA,"28,082",16.08%,0.28%,0.62%,2.00%,0.55%,80.46%
1250,RUTHERFORD,"28,079",82.13%,11.69%,0.53%,1.16%,2.29%,2.20%
1251,SORENSEN,"28,069",94.38%,0.28%,0.79%,0.33%,1.61%,2.61%
1252,MCCRAY,"28,024",26.51%,67.43%,0.24%,0.96%,2.91%,1.96%
1253,HASTINGS,"28,015",88.99%,5.07%,0.60%,0.84%,1.81%,2.70%
1254,PIERSON,"27,983",84.30%,10.02%,0.54%,0.48%,2.01%,2.65%
1255,CHACON,"27,982",6.50%,0.31%,0.56%,0.46%,0.21%,91.96%
1256,RENTERIA,"27,976",4.11%,0.27%,0.16%,0.30%,0.17%,94.98%
1257,MOHAMED,"27,972",20.08%,65.60%,8.23%,0.38%,3.78%,1.94%
1258,NICHOLAS,"27,922",73.29%,17.12%,1.22%,1.73%,2.40%,4.24%
1259,KENDRICK,"27,915",64.90%,29.71%,0.47%,0.51%,2.34%,2.07%
1260,FERREIRA,"27,898",66.54%,3.04%,1.63%,0.46%,2.28%,26.05%
1261,LOCKHART,"27,883",63.59%,30.83%,0.46%,0.41%,2.33%,2.38%
1262,BOGGS,"27,880",89.29%,5.75%,0.41%,0.79%,1.77%,1.99%
1263,PRYOR,"27,805",60.17%,34.03%,0.42%,0.65%,2.69%,2.04%
1264,DOHERTY,"27,787",94.83%,0.89%,0.63%,0.30%,1.37%,1.98%
1265,SARGENT,"27,786",86.41%,7.83%,0.49%,1.03%,1.95%,2.30%
1266,KENNEY,"27,759",87.17%,7.73%,0.66%,0.27%,1.97%,2.19%
1267,TUTTLE,"27,751",93.39%,1.35%,0.53%,0.98%,1.65%,2.10%
1268,DENTON,"27,742",85.74%,8.95%,0.45%,0.62%,1.76%,2.47%
1269,MAGEE,"27,720",64.77%,30.54%,0.49%,0.52%,1.79%,1.90%
1270,JAMISON,"27,697",56.70%,37.49%,0.42%,0.73%,2.37%,2.29%
1271,LYON,"27,690",91.83%,2.99%,0.73%,0.48%,1.59%,2.38%
1272,LOCKE,"27,643",81.22%,12.30%,1.25%,0.79%,2.22%,2.23%
1273,PUCKETT,"27,627",89.08%,6.29%,0.52%,0.59%,1.76%,1.75%
1274,CORONADO,"27,626",5.21%,0.24%,1.02%,0.76%,0.21%,92.56%
1275,OLVERA,"27,551",4.29%,0.14%,0.15%,0.22%,0.13%,95.08%
1276,SYKES,"27,546",54.03%,40.82%,0.40%,0.33%,2.44%,1.99%
1277,MANUEL,"27,529",39.56%,26.79%,12.84%,3.51%,3.17%,14.13%
1278,BURKS,"27,523",51.94%,42.23%,0.32%,0.40%,2.76%,2.34%
1279,CHIN,"27,487",5.90%,6.74%,76.08%,0.09%,8.12%,3.06%
1280,QUIROZ,"27,452",4.29%,0.24%,0.81%,0.30%,0.23%,94.14%
1281,HOPPER,"27,353",87.28%,6.28%,0.53%,1.16%,1.98%,2.77%
1282,MCGILL,"27,330",67.52%,26.53%,0.45%,0.60%,2.36%,2.54%
1283,DOLAN,"27,329",94.95%,0.35%,0.77%,0.26%,1.45%,2.22%
1284,MCKENNA,"27,293",94.10%,0.90%,0.58%,0.23%,1.10%,3.10%
1285,HEAD,"27,292",78.41%,16.72%,0.45%,0.84%,1.71%,1.87%
1286,MONTANO,"27,276",10.61%,0.41%,1.54%,0.67%,0.39%,86.38%
1287,PAREDES,"27,274",4.83%,0.33%,3.13%,0.10%,0.33%,91.28%
1288,DELATORRE,"27,265",4.87%,0.17%,1.98%,0.14%,0.24%,92.61%
